run,task_id,rep,correct,num_tokens,mean_logprob,median_logprob,std_logprob,min_logprob,p10_logprob,p25_logprob,mean_prob,median_prob,min_prob,mean_entropy,median_entropy,max_entropy,high_conf_ratio,low_conf_ratio,perplexity,sum_logprob,tail_10pct_mean_logprob,tail_5pct_mean_logprob,tail_1pct_mean_logprob,entropy_spikes_05,entropy_spikes_10,entropy_spikes_15,entropy_spike_05_ratio,entropy_spike_10_ratio,entropy_spike_15_ratio,ft_entropy,ft_top1_prob,ft_top1_logprob,ft_margin,ft_topk_spread,fn_mean_entropy,fn_max_entropy,fn_entropy_var,fn_min_prob,fn_max_prob,fn_mean_prob,fn_perplexity,fn_mean_margin,fn_min_margin,fn_entropy_slope,full_entropy_slope,ft_temp_sensitivity,ft_hedging_max_prob,ft_hedging_sum_prob
human_eval_AgentChatLogprobs_20260311_161129_929,HumanEval_0,0,0,296,-0.0697578979835199,0.0,0.30199207649025844,-2.578763246536255,-0.1173511184751987,-0.0002405932900728,0.9581460954852835,1.0,0.07586777575908993,0.08011862570797698,-7.266495883987705e-11,1.3936612921115947,0.8918918918918919,0.030405405405405407,1.0722485562899753,-20.64833780312189,-0.6732363772803339,-1.1600932436329978,-2.4374996423721313,22,3,0,0.07432432432432433,0.010135135135135136,0.0,0.00039921739636113906,0.9999685287480237,-3.1471747206524014e-05,11.249999999505235,28.22222538920957,0.12432047476751684,0.6719127593891703,0.039359606730149085,0.11072707030699225,1.0,0.9016910108709295,1.1992077685013653,10.979168400074908,0.4166717529296875,-0.005122427351051879,8.494597750890191e-05,3.152021802381986e-05,1.3006888304560974e-05,1.3006888304560974e-05
human_eval_AgentChatLogprobs_20260311_161129_929,HumanEval_0,1,0,261,-0.05152045650096137,0.0,0.22301853497906532,-1.839672565460205,-0.0294523052871227,-4.541977250482887e-05,0.9661949778650795,1.0,0.15886943693235508,0.05603057267021375,-9.682246954890408e-11,0.7126709808063957,0.9080459770114943,0.03065134099616858,1.0528707241228183,-13.446839146750918,-0.5096303228145609,-0.8748744932504801,-1.6933887004852295,15,0,0,0.05747126436781609,0.0,0.0,0.00039921739636113906,0.9999685287480237,-3.1471747206524014e-05,11.249999999505235,28.22222538920957,0.16199887323368573,0.6931624438492806,0.06085654658444837,0.30293984645138117,1.0,0.9028592173137708,1.146027835401792,10.000001160028447,0.0,-0.009195473859398789,-0.00037686065261793953,3.152021802381986e-05,1.3006888304560974e-05,1.3006888304560974e-05
human_eval_AgentChatLogprobs_20260311_161129_929,HumanEval_0,2,0,256,-0.05990484192480838,0.0,0.2696112149034675,-2.2006869316101074,-0.03647375851869575,-2.0027361642860342e-05,0.9637243761754729,1.0,0.11072707030699225,0.05579881040700192,-9.747951618166927e-11,0.7347045950429437,0.9140625,0.0390625,1.0617355090307663,-15.335639532750946,-0.6007806047797203,-1.104756658275922,-2.2006853818893433,12,0,0,0.046875,0.0,0.0,0.0003887825589848976,0.9999691247940801,-3.087568256887607e-05,11.041667580127978,28.94270548194055,0.12492524197489747,0.6931723664103753,0.048262751303050765,0.11072707030699225,1.0,0.8993283534718589,1.1997315554588297,9.916667964340917,0.0,-0.008219575505636015,-0.0003288149445510774,3.088894102977511e-05,8.574666517032048e-06,8.574666517032048e-06
human_eval_AgentChatLogprobs_20260311_161129_929,HumanEval_1,0,0,449,-0.06918243040974796,0.0,0.26449095584497234,-3.403451919555664,-0.14414631426334373,-0.0012722356477752,0.9541143344284434,1.0,0.033258266722272556,0.09042375168739022,5.5100545300013884e-08,1.4069859994860976,0.8864142538975501,0.0400890868596882,1.0716316895252405,-31.062911253976836,-0.6482794877480377,-1.0469015619971536,-1.9199160039424896,40,6,0,0.08908685968819599,0.013363028953229399,0.0,0.006807106302889951,0.999159812936343,-0.0008405402186326,7.083332185458858,36.08550404895781,0.13875978990035556,0.6719077067006228,0.04894048279757925,0.3973143904505171,1.0,0.9364881967225746,1.0861499161742907,7.770832803621252,0.4166678190231323,-0.006163553350242281,0.00021706820214461065,0.0008348971642341131,0.0008382679780906156,0.0008382679780906156
human_eval_AgentChatLogprobs_20260311_161129_929,HumanEval_1,1,0,408,-0.06635451415729286,0.0,0.23466143997006053,-1.6720658540725708,-0.07921843454241746,-0.00193997038877565,0.9547838883074938,1.0,0.18785857609106935,0.08747912855396023,5.170642191415298e-07,1.3070275811773797,0.9068627450980392,0.04411764705882353,1.0686054857958809,-27.072641776175487,-0.6336449831724167,-1.001777422428131,-1.587481826543808,33,3,0,0.08088235294117647,0.007352941176470588,0.0,0.006807106302889951,0.999159812936343,-0.0008405402186326,7.083332185458858,36.08550404895781,0.12737710770835003,0.81196334809006,0.066479778364604,0.2019997188087982,1.0,0.9113485767993824,1.1548071617154918,11.28125019841409,0.0,-0.0039027822013535684,-8.810254010800968e-06,0.0008348971642341131,0.0008382679780906156,0.0008382679780906156
human_eval_AgentChatLogprobs_20260311_161129_929,HumanEval_1,2,1,436,-0.10574976632584313,0.0,0.3466092202231844,-2.579227924346924,-0.24112646281719205,-0.003663241106551075,0.9351414187424053,1.0,0.07583252987677379,0.11439382992133891,8.31967760702985e-08,1.244026461703048,0.8532110091743119,0.05504587155963303,1.1115436960398763,-46.106898118067605,-0.9559428608694742,-1.4663655757904053,-2.342574328184128,43,5,0,0.09862385321100918,0.011467889908256881,0.0,0.006807106302889951,0.999159812936343,-0.0008405402186326,7.083332185458858,36.08550404895781,0.13648455160432404,0.81196334809006,0.06736480161941164,0.2019997188087982,1.0,0.9087180894982557,1.1579958892326676,11.562500026661246,0.0,-0.0012438290538692438,0.00012685516924967855,0.0008348971642341131,0.0008382679780906156,0.0008382679780906156
human_eval_AgentChatLogprobs_20260311_161129_929,HumanEval_10,0,1,445,-0.08144988177757051,0.0,0.31459575034239046,-2.5788912773132324,-0.1390646576881407,-0.0001584417041158,0.9509885939873495,1.0,0.07585806297059312,0.08221554741500835,1.2667894960665874e-09,1.0933186650993247,0.8921348314606742,0.0449438202247191,1.0848588450245835,-36.24519739101888,-0.7800056511028246,-1.3014777898788452,-2.306016266345978,37,3,0,0.08314606741573034,0.006741573033707865,0.0,0.03494157582476759,0.994842112170146,-0.0051712356507778,5.416668001562357,32.91492161376425,0.14835932962297074,1.0379864040828537,0.08289918923671459,0.22725269841631973,1.0,0.9199686855664868,1.1311530569643569,15.906248860678442,0.41666412353515625,0.010590366466839104,0.0002466258283016817,0.005041774959161383,0.0044190115584416614,0.0044190115584416614
human_eval_AgentChatLogprobs_20260311_161129_929,HumanEval_10,1,0,419,-0.0679531113471605,0.0,0.26563641714539976,-2.8141133785247803,-0.0846575886011123,-0.00022205212007970002,0.9562180721722502,1.0,0.05995785510265337,0.08239924177376119,4.978396825783435e-10,1.4441329427495762,0.9045346062052506,0.03818615751789976,1.070315121668019,-28.47235365446025,-0.6624632045263197,-1.0951829522848129,-1.999104529619217,32,7,0,0.07637231503579953,0.016706443914081145,0.0,0.04756779801196497,0.9924783707513893,-0.00755005935207,5.000000180210918,31.743045072540774,0.16598225150425355,1.0498828971815488,0.08146438392144903,0.22059850445803655,1.0,0.9125085527220363,1.140670132833573,13.093749637219457,1.0416641533374786,0.0129015595019586,0.00022923307511743063,0.007274518362012135,0.006687265454743201,0.006687265454743201
human_eval_AgentChatLogprobs_20260311_161129_929,HumanEval_10,2,1,420,-0.06343596209194967,0.0,0.30341895150116627,-3.250696897506714,-0.048262286931276266,-0.00010365788330089257,0.9634963356773003,1.0,0.038747195596432235,0.06635641994535998,1.7597240068764466e-09,1.3277474916415426,0.9214285714285714,0.02619047619047619,1.065491251785898,-26.643104078618858,-0.6170182698184535,-1.0919326359317416,-2.529259502887726,25,4,0,0.05952380952380952,0.009523809523809525,0.0,0.04756779801196497,0.9924783707513893,-0.00755005935207,5.000000180210918,31.743045072540774,0.1456325560907269,1.0379864040828537,0.07931935905333458,0.6440180544320738,1.0,0.9464214176337379,1.0642856616796785,16.166665948683203,1.0416641533374786,0.00692602785671728,0.00017386706565972394,0.007274518362012135,0.006687265454743201,0.006687265454743201
human_eval_AgentChatLogprobs_20260311_161129_929,HumanEval_100,0,1,318,-0.051560004319107566,0.0,0.2474809379312849,-2.578889846801758,-0.010548811219632597,-1.2815007153221813e-06,0.9683902670707915,1.0,0.07585817148650026,0.059776905851493034,-9.971602221253052e-11,1.2275840425565505,0.9339622641509434,0.0220125786163522,1.052912363686119,-16.396081373476207,-0.5254658719584826,-0.9547013958295186,-1.9398841857910156,18,6,0,0.05660377358490566,0.018867924528301886,0.0,0.0014433226871014184,0.9998712539611762,-0.0001287543273065,9.79166792993783,24.194878425513707,0.028804039133294473,0.2026504580220283,0.0033331829929192473,0.9486461870899294,1.0,0.9936421544167912,1.0064964759660466,16.427083595280823,2.9166641011834145,-0.004034603061060833,0.00029603528240167734,0.00012881801635178313,5.59083573134455e-05,5.59083573134455e-05
